epoch,train_loss,train_acc,train_average_valid_weight_sum,train_average_weight_per_valid_class,train_average_weight_per_invalid_class,val_loss,val_acc,val_average_valid_weight_sum,val_average_weight_per_valid_class,val_average_weight_per_invalid_class,time_elapsed
0,1.746350151244444,0.43690758823529413,0.8721581301313288,0.08829025116384731,0.005399297039479801,1.1581013345426672,0.5825864705882353,0.9915657631851645,0.09824557935826919,0.0003558725689503583,01:14:49
1,1.1058258765657087,0.6035867647058824,0.9946045229929195,0.10120035147313511,0.00022660988529333981,1.0388524343271817,0.6197582352941177,0.9950120328577827,0.09860541584197213,0.0002110124815575888,01:13:46
2,1.0148912280777203,0.6329344705882353,0.996148526065602,0.10136481918139317,0.0001620812463126255,0.9710728917968975,0.6433488235294118,0.9966024195828157,0.09877390952418832,0.00014419930869644947,01:14:35
3,0.9663609946550762,0.6489815,0.9967761621596953,0.10143233464011024,0.0001358956530574257,0.9400339168200773,0.6546688235294118,0.9981908901438994,0.0989358695751078,7.664169301470632e-05,01:14:35
4,0.9365361927913778,0.6586432647058823,0.9971438550420649,0.10147228866774194,0.0001206267353599636,0.9435407368441189,0.6513576470588235,0.9978346879128849,0.09889915318012238,9.172570935607997e-05,01:14:29
5,0.9151533981970338,0.665456705882353,0.9973973492105709,0.10149961443201935,0.00011006563042547221,0.9246232603258245,0.6570694117647059,0.9976599349324844,0.09888522622697493,9.986780209994108e-05,01:14:12
6,0.8982965962844456,0.6709549411764706,0.9975765518258599,0.10151892712897413,0.00010260424136022117,0.9088136428417879,0.66293,0.9979713474385878,0.09891595877521178,8.636642567443607e-05,01:14:16
7,0.8842977852133863,0.6754392352941176,0.9977116239097259,0.10153345994710922,9.698210937038803e-05,0.8977216124601926,0.6663541176470589,0.9980921815187791,0.09892729830868104,8.101714778821641e-05,01:14:25
8,0.8721335408480028,0.6792756176470588,0.9978272198985043,0.10154588309760655,9.215700445547725e-05,0.8976539307908451,0.6678117647058823,0.9987133670324437,0.09899137263859019,5.469808523021022e-05,01:15:02
9,0.8613328154441048,0.6828072352941177,0.997920844063254,0.10155615787380583,8.827622280781661e-05,0.9061397882225934,0.6643788235294118,0.9984653271989261,0.09896969481804792,6.59181760127574e-05,01:14:31
10,0.8515688274159993,0.6859647058823529,0.9979958342461867,0.10156418856475634,8.515248788743123e-05,0.898627970792546,0.6648670588235294,0.9975961497766831,0.09888303733531166,0.0001031595310708508,01:14:24
11,0.8424983871642281,0.6889888823529412,0.9980646224324282,0.10157151236914887,8.226704454759173e-05,0.8920997993542167,0.6689329411764706,0.9982447588404487,0.09894806047313354,7.535070258179022e-05,01:14:24
12,0.8340459013271893,0.6917806470588236,0.9981249372825062,0.10157806357614434,7.976036434303644e-05,0.8984803892298305,0.6691370588235294,0.9991925940771664,0.09904123782298144,3.4467130741335605e-05,01:14:31
13,0.8261303204235049,0.6943562058823529,0.9981755568520041,0.10158346484980163,7.764053318043079e-05,0.8858268602601219,0.670165294117647,0.9972103074444042,0.09884459878963582,0.00011974026616984595,01:16:09
14,0.8186166895094479,0.6969208529411764,0.9982172310745576,0.10158791431478893,7.590181394756869e-05,0.8901838311879775,0.6683047058823529,0.9985028779175702,0.0989744731796489,6.441985967269454e-05,01:18:57
